% PRELIMINARY DATA - SUBJECT TO CHANGE WITHOUT NOTICE - NOT YET PEER REVIEWED
% 
%%%%%%%
% 
% This file is based on the new high-resolution Berkeley Earth global temperature
% data set.  It expands upon the previous Berkeley Earth temperature data set by
% including predictive structures based on historical weather patterns and 
% increasing the underlying resolution to 0.25° x 0.25° latitude-longitude.
% Files based on this new data set are being provided as part of an early preview
% to aid in the identification of any remaining bugs or errors.  While, we 
% believe the current dataset to be accurate and useful, it is still in 
% development and substantial revisions remain possible if significant issues
% are identified.
% 
% LOCAL AND REGIONAL UNCERTAINTIES ARE STILL BEING UPDATED AND NOT YET REPORTED.
% 
%%%%%%%
% 
% This file contains an extracted regional summary of land-surface 
% temperature results produced by the high-resolution Berkeley Earth averaging 
% method for the region: 
% 
%    Finland
% 
% The Berkeley Earth method takes temperature observations from a large 
% collection of weather monitoring stations and produces an estimate of 
% the underlying global temperature field across all of the Earth's 
% land areas.  Once this temperature field has been generated, it is 
% possible to estimate the temperature evolution of individual regions 
% simply by integrating the field over the region in question.  This 
% file contains such a regional estimate.
% 
% For references and more information about the methods employed,
% please refer to the global average files and/of the Berkeley Earth
% website, http://berkeleyearth.org/
% 
% Temperatures are in Celsius and reported as anomalies relative to the 
% Jan 1951-Dec 1980 average.  Uncertainties represent the 95% confidence 
% interval for statistical noise and spatial undersampling effects.  Such 
% uncertainties are expected to account for the effects of random 
% noise as well as random biases affecting station trends and random 
% shifts in station baselines.  The analysis framework is expected to be 
% robust against most forms of bias; however, the impact of some forms of 
% possible systematic bias is still being studied.
% 
% The current dataset presented here is described as: 
% 
%   Land_TAVG_Monthly
% 
% 
% This analysis was run on 17-Sep-2025 00:52:42
% 
% Global results are based on 56751 time series 
%   with 23088806 monthly data points
% 
% The current region is characterized by: 
%%   Name: Finland
%%   Latitude Range: 59.81 to 70.08
%%   Longitude Range: 19.51 to 31.57
%%   Area: 310459.19 km^2
%%   Percent of global land area: 0.211 %
%%   Approximate number of temperature stations: 387
%%   Approximate number of monthly observations: 185283
% 
% Note that all results reported here are derived from the full field 
% analysis and will in general include information from many additional 
% stations that border the current region and not just those that lie 
% within this region.  In general, the temperature anomaly field has 
% significant correlations extending over greater than 1000 km, which 
% allows even distant stations to provide some insight at times when 
% local coverage may be lacking. 
% 
%%  Estimated Jan 1951-Dec 1980 absolute temperature (C): 1.13 +/-  NaN
% 
% Estimated Jan 1951-Dec 1980 monthly absolute temperature (C):
%       Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
%%     -11.15 -11.22  -6.50  -0.38   6.50  12.54  14.69  13.03   7.57   1.38  -4.19  -8.68
%%  +/-    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN    NaN
% 
% For each month, we report the estimated land-surface anomaly for that 
% month and its uncertainty.  We also report the corresponding values for 
% year, five-year, ten-year, and twenty-year moving averages CENTERED about 
% that month (rounding down if the center is in between months).  For example, 
% the annual average from January to December 1950 is reported at June 1950. 
% 
% Annual averages are explicit 12-month moving averages.  Five, ten, and twenty
% year averages use a LOESS style regression (rather than a uniform averqage)
% in order to produce smoother trends, free from short-term noise.
% 
% Values are reported as missing (i.e. NaN) when station coverage within 
% the region becomes too low, even though a limited number of observations may 
% still have been made.  Time averages over intervals with some missing data will 
% be reported as long as at least 75% of the necessary values are available.
% 
%                  Monthly          Annual          Five-year        Ten-year        Twenty-year
% Year, Month,  Anomaly, Unc.,   Anomaly, Unc.,   Anomaly, Unc.,   Anomaly, Unc.,   Anomaly, Unc.
 
  1750     1     3.614  2.026     0.969    NaN     0.011  0.586    -0.037  0.456    -0.246  0.409
  1750     2     3.559  3.149     0.987    NaN     0.011  0.978    -0.032  0.784    -0.242  0.719
  1750     3     2.456  5.608     0.971    NaN     0.011  1.032    -0.028  0.819    -0.237  0.765
  1750     4     2.020  2.202     0.838    NaN     0.012  0.962    -0.023  0.772    -0.233  0.715
  1750     5     0.103  2.274     0.388    NaN     0.013  0.902    -0.019  0.725    -0.229  0.674
  1750     6    -0.370  1.642     0.210    NaN     0.013  0.891    -0.015  0.722    -0.225  0.671
  1750     7     0.959  2.529    -0.135    NaN     0.014  0.932    -0.011  0.762    -0.220  0.707
  1750     8     1.409  2.747    -0.916    NaN     0.015  0.559    -0.007  0.598    -0.216  0.642
  1750     9    -0.420  3.034    -0.979    NaN     0.016  0.886    -0.003  0.672    -0.212  0.517
  1750    10    -3.131  2.482    -1.033    NaN     0.018  0.944     0.001  0.768    -0.209  0.694
  1750    11    -4.991    NaN    -1.022    NaN     0.020    NaN     0.004    NaN    -0.205    NaN
  1750    12    -2.688  2.881    -1.123    NaN     0.022  0.954     0.008  0.786    -0.201  0.712
  1751     1    -0.520  2.367    -1.148    NaN     0.024  0.827     0.011  0.662    -0.197  0.511
  1751     2    -5.813 10.015    -1.244    NaN     0.027  0.989     0.014  0.793    -0.194  0.683
  1751     3     1.692  2.939    -1.276    NaN     0.029  0.799     0.018  0.657    -0.190  0.509
  1751     4     1.371  1.942    -1.078    NaN     0.033  0.784     0.021  0.696    -0.187  0.643
  1751     5     0.242    NaN    -0.739    NaN     0.036    NaN     0.024    NaN    -0.184    NaN
  1751     6    -1.587  3.031    -0.471    NaN     0.040  0.811     0.027  0.729    -0.180  0.671
  1751     7     0.655    NaN    -0.645    NaN     0.044    NaN     0.029    NaN    -0.177    NaN
  1751     8     0.263  1.934    -0.121    NaN     0.048  0.766     0.032  0.683    -0.174  0.612
  1751     9    -0.803  1.568    -0.105    NaN     0.053  0.629     0.034  0.594    -0.171  0.600
  1751    10    -0.757  2.337    -0.056    NaN     0.057  0.749     0.037  0.683    -0.168  0.630
  1751    11    -0.928  2.204    -0.002    NaN     0.062  0.777     0.039  0.657    -0.165  0.468
  1751    12     0.532    NaN     0.114    NaN     0.067    NaN     0.041    NaN    -0.162    NaN
  1752     1    -2.610  2.511     0.272    NaN     0.072  0.745     0.043  0.678    -0.159  0.624
  1752     2     0.475    NaN     0.411    NaN     0.077    NaN     0.045    NaN    -0.157    NaN
  1752     3     1.883  2.280     0.417    NaN     0.082  0.608     0.047  0.569    -0.154  0.578
  1752     4     1.959  1.954     0.481    NaN     0.087  0.750     0.049  0.674    -0.151  0.619
  1752     5     0.898    NaN     0.742    NaN     0.093    NaN     0.050    NaN    -0.149    NaN
  1752     6    -0.205    NaN     0.817    NaN     0.098    NaN     0.052    NaN    -0.146    NaN
  1752     7     2.555    NaN     1.112    NaN     0.103    NaN     0.053    NaN    -0.144    NaN
  1752     8     1.933    NaN     1.027    NaN     0.107    NaN     0.055    NaN    -0.142    NaN
  1752     9    -0.728    NaN     1.030    NaN     0.112    NaN     0.056    NaN    -0.139    NaN
  1752    10     0.008  1.257     1.060    NaN     0.117  0.645     0.057  0.549    -0.137  0.557
  1752    11     2.209  1.456     1.072    NaN     0.121  0.815     0.058  0.679    -0.135  0.594
  1752    12     1.428  2.617     0.976    NaN     0.125  0.864     0.058  0.730    -0.133  0.665
  1753     1     0.928  2.777     0.756    NaN     0.129  0.672     0.059  0.515    -0.131  0.498
  1753     2    -0.549  2.467     0.589    NaN     0.133  0.808     0.059  0.669    -0.129  0.606
  1753     3     1.922  2.106     0.675    NaN     0.137  0.645     0.060  0.560    -0.127  0.588
  1753     4     2.318  2.679     0.844    NaN     0.141  0.857     0.060  0.673    -0.125  0.615
  1753     5     1.041  1.421     0.823    NaN     0.144  0.827     0.060  0.669    -0.123  0.603
  1753     6    -1.359  2.103    -0.053    NaN     0.147  0.835     0.060  0.683    -0.121  0.620
  1753     7    -0.084  1.787    -0.168    NaN     0.150  0.838     0.060  0.670    -0.120  0.601
  1753     8    -0.064  2.036    -0.317    NaN     0.153  0.827     0.059  0.688    -0.118  0.621
  1753     9     0.301  1.593    -0.621    NaN     0.156  0.847     0.059  0.672    -0.116  0.599
  1753    10     2.039  1.745    -0.460    NaN     0.159  0.851     0.058  0.672    -0.115  0.599
  1753    11     1.955  2.940    -0.459    NaN     0.162  0.780     0.057  0.567    -0.113  0.564
  1753    12    -9.084  2.031    -0.319    NaN     0.164  0.861     0.056  0.689    -0.112  0.621
  1754     1    -0.448  1.807    -0.359    NaN     0.167  0.799     0.055  0.621    -0.110  0.492
  1754     2    -2.344  3.287    -0.422    NaN     0.169  0.812     0.054  0.643    -0.109  0.521
  1754     3    -1.726  2.839    -0.492    NaN     0.171  0.903     0.053  0.697    -0.108  0.587
  1754     4     4.250  2.145    -0.648    NaN     0.174  0.857     0.051  0.678    -0.106  0.595
  1754     5     1.060  2.588    -0.785    NaN     0.176  0.711     0.050  0.535    -0.105  0.534
  1754     6     0.314  0.968     0.083    NaN     0.178  0.855     0.048  0.680    -0.104  0.594
  1754     7    -0.564  2.986    -0.013    NaN     0.180  0.761     0.046  0.568    -0.103  0.543
  1754     8    -0.822  1.664    -0.095    NaN     0.181  0.850     0.044  0.682    -0.102  0.593
  1754     9    -0.531  1.832    -0.085  0.426     0.183  0.727     0.042  0.556    -0.101  0.522
  1754    10     0.162  1.833    -0.283    NaN     0.184  0.733     0.040  0.554    -0.100  0.512
  1754    11     0.312  2.785    -0.152    NaN     0.185  0.729     0.037  0.556    -0.099  0.511
  1754    12     1.330  2.858    -0.095    NaN     0.186  0.853     0.035  0.702    -0.098  0.614
  1755     1    -1.592  1.712     0.085    NaN     0.187  0.772     0.032  0.677    -0.097  0.619
  1755     2    -3.337  3.220     0.034    NaN     0.187  0.857     0.029  0.717    -0.096  0.626
  1755     3    -1.599  2.208     0.026    NaN     0.187  0.745     0.026  0.655    -0.095  0.597
  1755     4     1.872  3.203     0.175    NaN     0.186  0.867     0.023  0.713    -0.094  0.587
  1755     5     2.635  2.406     0.353    NaN     0.185  0.816     0.020  0.690    -0.093  0.591
  1755     6     1.002  1.857     0.191    NaN     0.183  0.709     0.017  0.591    -0.093  0.540
  1755     7     1.586  1.534     0.514    NaN     0.181  0.677     0.013  0.536    -0.092  0.485
  1755     8    -1.432  1.324     1.210    NaN     0.178  0.728     0.010  0.602    -0.091  0.539
  1755     9    -0.620  1.980     1.404    NaN     0.175  0.691     0.006  0.596    -0.091  0.539
  1755    10     1.948  2.165     1.380    NaN     0.171  0.859     0.003  0.741    -0.090  0.639
  1755    11     2.443  1.588     1.124    NaN     0.166  0.873    -0.001  0.779    -0.089  0.660
  1755    12    -0.614  1.797     1.090    NaN     0.160  0.928    -0.005  0.814    -0.089  0.677
  1756     1     2.286  4.382     1.019    NaN     0.153  0.652    -0.009  0.551    -0.088  0.426
  1756     2     5.014  3.364     0.989    NaN     0.146  0.644    -0.013  0.519    -0.088  0.396
  1756     3     0.734  2.115     0.991    NaN     0.138  0.774    -0.017  0.693    -0.087  0.590
  1756     4     1.574  2.485     0.842    NaN     0.129  0.769    -0.021  0.693    -0.087  0.590
  1756     5    -0.438  1.992     0.477  0.650     0.119  0.765    -0.026  0.693    -0.086  0.590
  1756     6     0.601  2.638     0.371  1.118     0.108  0.781    -0.030  0.732    -0.086  0.625
  1756     7     0.736  1.188    -0.111  0.961     0.096  0.757    -0.035  0.693    -0.085  0.590
  1756     8    -1.796  1.573    -0.342  0.917     0.084  0.662    -0.039  0.581    -0.085  0.501
  1756     9    -0.593  1.904    -0.416  0.726     0.070  0.748    -0.043  0.692    -0.085  0.590
  1756    10     0.157  1.568    -0.277  0.605     0.056  0.659    -0.048  0.582    -0.084  0.501
  1756    11    -1.931  1.461    -0.179  0.673     0.041  0.740    -0.053  0.691    -0.084  0.590
  1756    12    -1.893  2.261    -0.049  0.673     0.026  0.657    -0.057  0.614    -0.084  0.536
  1757     1    -3.501  2.394     0.170  0.720     0.010  0.803    -0.062  0.738    -0.083  0.631
  1757     2     2.244  4.106     0.464  0.695    -0.007  0.754    -0.066  0.729    -0.083  0.625
  1757     3    -0.152  1.807     0.705  0.664    -0.025  0.653    -0.071  0.583    -0.083  0.502
